iter	Passed	Remaining
0	4	4993
1	10	5406
2	15	5305
3	20	5089
4	24	4940
5	29	4869
6	33	4760
7	37	4688
8	42	4683
9	46	4633
10	52	4752
11	58	4806
12	63	4807
13	67	4757
14	71	4692
15	75	4621
16	78	4543
17	82	4480
18	85	4436
19	90	4414
20	93	4363
21	97	4329
22	100	4287
23	104	4256
24	108	4224
25	111	4183
26	115	4163
27	119	4143
28	122	4116
29	126	4094
30	130	4074
31	133	4052
32	137	4038
33	141	4021
34	145	4009
35	150	4025
36	154	4018
37	157	3999
38	161	3981
39	165	3979
40	169	3961
41	173	3949
42	176	3931
43	180	3916
44	184	3910
45	187	3895
46	191	3878
47	194	3866
48	198	3848
49	201	3836
50	205	3823
51	209	3813
52	212	3803
53	216	3801
54	220	3790
55	224	3777
56	228	3772
57	231	3759
58	235	3751
59	238	3742
60	242	3733
61	246	3726
62	249	3715
63	253	3704
64	256	3694
65	260	3684
66	263	3672
67	267	3663
68	270	3653
69	274	3645
70	278	3644
71	282	3640
72	285	3631
73	289	3627
74	294	3634
75	298	3626
76	301	3619
77	305	3611
78	309	3602
79	312	3596
80	316	3590
81	320	3585
82	323	3579
83	327	3569
84	330	3560
85	334	3554
86	338	3550
87	342	3547
88	346	3542
89	350	3539
90	353	3533
91	357	3525
92	360	3518
93	364	3511
94	368	3507
95	371	3500
96	375	3496
97	379	3491
98	382	3485
99	386	3479
100	390	3473
101	393	3466
102	397	3463
103	401	3461
104	406	3460
105	409	3455
106	413	3449
107	417	3444
108	421	3442
109	424	3437
110	429	3435
111	433	3433
112	437	3434
113	441	3432
114	445	3429
115	450	3429
116	454	3426
117	458	3430
118	463	3430
119	467	3427
120	471	3425
121	476	3425
122	480	3425
123	484	3426
124	489	3423
125	493	3419
126	497	3418
127	501	3414
128	505	3411
129	509	3408
130	513	3404
131	517	3401
132	521	3397
133	526	3400
134	530	3396
135	534	3393
136	538	3395
137	542	3390
138	546	3387
139	550	3384
140	554	3377
141	558	3376
142	563	3376
143	567	3373
144	571	3371
145	576	3370
146	580	3365
147	584	3362
148	588	3362
149	592	3358
150	596	3353
151	600	3352
152	605	3350
153	608	3345
154	612	3340
155	616	3335
156	620	3333
157	624	3329
158	628	3325
159	632	3321
160	636	3316
161	640	3312
162	644	3308
163	648	3307
164	653	3304
165	657	3301
166	661	3298
167	665	3295
168	668	3289
169	673	3288
170	677	3285
171	681	3279
172	685	3274
173	688	3268
174	692	3265
175	696	3261
176	700	3257
177	704	3254
178	708	3250
179	712	3247
180	717	3245
181	721	3242
182	726	3242
183	730	3241
184	736	3246
185	745	3262
186	750	3261
187	754	3258
188	758	3254
189	762	3250
190	766	3248
191	771	3245
192	774	3239
193	778	3235
194	782	3231
195	786	3227
196	791	3224
197	794	3219
198	798	3214
199	802	3208
200	805	3203
201	809	3198
202	813	3193
203	817	3188
204	820	3183
205	824	3177
206	828	3172
207	832	3168
208	835	3162
209	839	3158
210	843	3153
211	847	3148
212	850	3143
213	854	3138
214	858	3133
215	862	3129
216	865	3123
217	869	3119
218	873	3115
219	878	3112
220	882	3109
221	885	3104
222	889	3099
223	893	3094
224	896	3088
225	900	3084
226	904	3080
227	908	3075
228	912	3070
229	915	3066
230	919	3060
231	922	3055
232	926	3050
233	931	3048
234	934	3042
235	938	3037
236	941	3032
237	945	3027
238	949	3022
239	953	3018
240	956	3013
241	961	3010
242	964	3005
243	968	3001
244	972	2997
245	976	2993
246	980	2989
247	984	2984
248	988	2980
249	991	2974
250	995	2970
251	999	2966
252	1003	2963
253	1008	2960
254	1013	2960
255	1018	2960
256	1023	2959
257	1028	2958
258	1033	2956
259	1037	2954
260	1042	2951
261	1046	2948
262	1050	2944
263	1055	2942
264	1059	2938
265	1064	2938
266	1068	2934
267	1073	2931
268	1077	2927
269	1081	2923
270	1085	2921
271	1090	2918
272	1094	2914
273	1099	2912
274	1103	2909
275	1107	2905
276	1111	2902
277	1115	2898
278	1120	2895
279	1124	2892
280	1129	2890
281	1135	2889
282	1140	2888
283	1144	2884
284	1148	2881
285	1152	2877
286	1156	2872
287	1160	2869
288	1164	2865
289	1168	2860
290	1172	2855
291	1175	2850
292	1179	2846
293	1183	2841
294	1186	2835
295	1189	2830
296	1193	2825
297	1197	2820
298	1201	2816
299	1205	2812
300	1209	2808
301	1213	2805
302	1217	2801
303	1222	2797
304	1226	2793
305	1230	2790
306	1234	2787
307	1238	2783
308	1242	2779
309	1246	2775
310	1250	2771
311	1254	2766
312	1258	2761
313	1261	2756
314	1265	2751
315	1269	2746
316	1273	2742
317	1276	2737
318	1280	2732
319	1284	2729
320	1288	2724
321	1291	2719
322	1295	2714
323	1298	2710
324	1302	2705
325	1306	2701
326	1310	2696
327	1313	2691
328	1317	2687
329	1321	2683
330	1325	2678
331	1328	2673
332	1333	2670
333	1338	2669
334	1343	2666
335	1347	2662
336	1351	2658
